업소명,대표메뉴(가격),주소,전화번호
육쌈냉면,물냉면(8500원),인천 미추홀구 인하로 55-1 1층,032-862-6308
촌닭,오븐구이 순살 찜닭(15000원)(2인),인천 미추홀구 경인남길30번길 19,0507-1388-8989
신촌 설렁탕,육회비빔밥(8000원),인천 미추홀구 인하로67번길 3,032-873-3338
마약집,닭도리탕(18000원)(2인),인천 미추홀구 경인남길30번길 100-4,032-867-9511
고수찜닭,찜닭(20000원)(2인),인천 미추홀구 경인남길30번길 34 1층,032-867-9982
종로닭한마리,닭한마리(15000원)(2인),인천 미추홀구 경인남길30번길 83,032-868-1209
내가찜한닭,순살안동찜닭(17000원)(2인),인천 미추홀구 인하로 69-2 2층,032-875-1237
박지혜순대국,순대국(8000원),인천 미추홀구 인하로 89,032-862-4243
청진동해장국,뼈해장국(8000원),인천 미추홀구 인하로91번길 6,032-863-4477
더진국,수육국밥(8000원),인천 미추홀구 경인남길30번길 38,032-201-9882
콩불,콩불(8000원),인천 미추홀구 인하로77번길 6-41,032-867-0989
준호네부대찌개,부대찌개(7500원),인천 미추홀구 경인남길30번길 49,0507-1414-8546
인하칼국수,바지락칼국수(7000원),인천 미추홀구 경인남길30번길 35-1,032-874-4067
동전집,돼지김치구이(8500원),인천 미추홀구 경인남길30번길 48 1층,0507-1476-0706
궁중보쌈,지짐보쌈정식(8000원),인천 미추홀구 경인남길30번길 36 2층,032-861-9933
맛사랑,제육볶음(6500원),인천광역시 미추홀구 인하로77번길 6-26,032-872-5181
동아리닭갈비,철판닭갈비(16000원)(2인),인천 미추홀구 경인남길30번길 71 1층,0507-1346-9980
일미닭갈비,철판닭갈비(14000원)(2인),인천 미추홀구 경인남길30번길 58 2층,032-875-2032
시골집,홍계(7000원),인천 미추홀구 경인남길30번길 45-1,032-872-2867
불판위에 춤추는 갈매기,갈매기(21000원)(2인),인천 미추홀구 인하로67번길 24-24,010-4598-1933
성화해장국,뼈해장국(8000원),인천 미추홀구 인하로105번길 42 1층,0507-1317-4236
우리소참한우,육회비빔밥(8000원),인천 미추홀구 인하로105번길 39,032-875-3666
닭살부부,목삼겹(16000원)(2인),인천 미추홀구 경인남길30번길 95 1층,032-872-7787
킹콩순두부,햄치즈순두부(7500원),인천 미추홀구 경인남길30번길 45-1,032-873-3323
시카고피자,시카고세트(7000원이상),인천 미추홀구 인하로75-1,-
노브랜드버거,버거세트(4500원이상),인천 미추홀구 인하로81-1,032-873-0508
KFC인하대점,버거세트(4900원이상),인천 미추홀구 인하로77번길8,032-861-9416
레오펍 ,피자한조각(3300원),인천 미추 홀구 인하로77번길 12 1층,0507-1362-0459
밀플랜비,브리또(5000원),인천 미추홀구 인하로77번길 6-19,010-8913-4941
케밥집,케밥(5000원),인천 미추홀구 인하로77번길6-30,070-8755-8407
돼지게티,파스타(15900원),인천 미추홀구 인하로77번길 26,032-874-8003
챕터원스테이크,파스타(8000원),인천 미추홀구 인하로67번길 10 2층,070-8777-6321
미식당,파스타(7700원),인천 미추홀구 인하로67번길 6 1층,0507-1382-6561
파스타앤펍,"피자,파스타(7000원)",인천 미추홀구 경인남기30번길 40 2층,032-872-0222
토핑폭격기 LABS PIZZA,피자,인천 미추홀구 인하로77번길 6-35,032-872-1987
버거크루 ,버거(3500원이상),인천 미추홀구 인하로67번길 5,032-212-7734
러시아식당 바이칼,연어스(테이크(13000원),인천 미추홀구 경인남길30번길 38,-
롤링파스타,파스타(8500원),인천 미추홀구 인하로55-1 2층,032-872-5253
코피아,파스타(7500원),인천 미추홀구 인하로77번길 6-41 1층,0507-1340-2742
파치,파스타(7500원),인천 미추홀구 인하로105번길 5,032-207-8787
루프탑 캔버스,"파스타,샐러드(15000원)",인천 미추홀구 독배로 311 비젼프라자 13층,0507-1354-1016
홍루이젠,샌드위치(2200원이상),인천 미추홀구 소성로16 인하아리스타1층,032-246-5627
선식당,"파스타,샐러드(12900원이상)",인천 미추홀구 용정공원로83번길 49 2층 224호,032-891-8005
빈체로파스타,파스타(8800원이상),인천 미추홀구 소성로16 인하아리스타1층 109호,0507-1379-0988
선데이로스트,베이글(12900원이상),인천 미추홀구 용정공원로 83번길 43 216호,0507-1375-9753
까사올리브,파스타(12000원이상),인천 미추홀구 인하로47번길 5,032-867-0733
수타5900,석쇠불고기피자(17000원이상),인천 미추홀구 인하로105번길 21,032-865-9588
유년기의끝,파스타(12900원이상),인천 미추홀구 인하로105번길 27 지하1층,0507-1482-7887
다락,로스돈까스(7000원),인천광역시 미추홀구 인하로 55-1 2층,032-861-3606
허수아비,인하모밀세트(7500원),인천 미추홀구 인하로 61-1,032-862-9523
이치라멘&돈가츠,돈코츠시오라멘(8000원),인천 미추홀구 인하로67번길 5-6,032-874-4874
역전우동0410,옛날우동(4500원),인천 미추홀구 인하로 69-2 102호,032-225-0508
돈까스,로스정식(8000원),인천 미추홀구 인하로 63,032-872-3393
탄포포,히레까스(8000원),인천 미추홀구 인하로67번길 15,032-872-1764
덴세츠라멘,차슈 돈코츠라멘(8000원),인천 미추홀구 인하로67번길 13,032-872-0304
카모메,돈까스정식(8500원),인천 미추홀구 소성로 6,032-763-2080
오하요,가츠동(8000원),인천 미추홀구 경인남길30번길 36,032-872-7779
가메이,김치치즈가쯔동(7500원),인천 미추홀구 경인남길30번길 46,032-866-5891
왕돈까스,냉면+돈까스(7000원),인천광역시 미추홀구 인하로91번길 6,032-864-4477
산쪼메,소유라멘(8000원),인천 미추홀구 경인남길30번길 91,032-876-2584
하나마루,연어롤(13000원),인천 미추홀구 경인남길30번길 61,032-875-3444
고베규카츠,규카츠 정식(19000원),인천 미추홀구 인하로 83 2층,032-862-8625
우마이,규동(8000원),인천 미추홀구 경인남길30번길 94 1층 ,032-873-1023
오월의유부,톡톡날치알(2800원),인천 미추홀구 독배로 311 1층 오월의유부,032-889-6646
가산팔복초밥,팔복유부모둠초밥(24900원),인천 미추홀구 용정공원로 33 SK스카이뷰 상가 A-3동 105호,0507-1301-7907
돈카츠마켙,생등심카츠(3300원),인천 미추홀구 용정공원로 33 a-3동 111호,032-887-8875
무모한 초밥,메가초밥(19900원),인천 미추홀구 독배로 311 105-1호,0507-1430-9881
에바돈가츠,에바우동(5500원),인천 미추홀구 용정공원로83번길 49 인하대역헤리움메트로타워 134호,0507-1442-6263
미락초밥,모듬초밥(16000원),인천 미추홀구 용정공원로83번길 49 2층,032-876-3002
스시만,스시만A(15000원),인천 미추홀구 소성로 16,0507-1344-0429
연돈볼카츠,연돈볼카츠(3000원),인천 미추홀구 소성로 16 인하아리스타 133호,032-244-5470
고미후쿠데판,삼겹살철판볶음밥(8000원),인천 미추홀구 소성로 6,032-763-2080
